customer_id,contract_start_date,contract_end_date,monthly_charges,total_charges,payment_method,tenure_months,service_type,contract_type,name
1001,2020-01-15,,65.5,1500.0,Credit card,24,electricity,month-to-month,John Doe
1002,2019-03-22,2023-05-15,75.0,2800.0,Bank transfer,18,gas,one year,Jane Smith
1003,2021-07-10,,85.5,2100.0,Credit card,12,both,two year,Bob Johnson
1004,2020-11-05,2023-02-28,60.0,1800.0,Bank transfer,15,electricity,one year,Alice Brown
1005,2022-02-20,,70.0,840.0,Electronic check,8,gas,month-to-month,Charlie Davis
1006,2018-05-18,2023-04-10,95.0,4500.0,Mailed check,20,both,two year,Eve Wilson
1007,2021-09-30,,55.5,666.0,Credit card,6,electricity,month-to-month,Frank Miller
1008,2020-12-12,,80.0,1920.0,Bank transfer,24,gas,one year,Grace Lee
1009,2019-08-08,2023-03-20,72.0,2700.0,Electronic check,19,both,month-to-month,Henry Taylor
1010,2022-01-25,,68.0,816.0,Credit card,9,electricity,one year,Ivy Chen
1011,2021-04-14,,90.0,2160.0,Bank transfer,24,both,two year,Jack Wilson
1012,2020-06-30,2023-01-15,62.0,1800.0,Mailed check,14,electricity,one year,Karen Davis
1013,2022-03-10,,77.5,930.0,Electronic check,7,gas,month-to-month,Liam Smith
1014,2019-12-05,,88.0,2640.0,Credit card,30,both,two year,Mary Johnson
1015,2021-02-18,2023-05-01,69.0,1800.0,Bank transfer,16,electricity,one year,Michael Brown
1016,2022-05-22,,73.5,882.0,Credit card,8,gas,month-to-month,Nancy Wilson
1017,2020-10-11,,92.0,2208.0,Bank transfer,24,both,two year,Oliver Davis
1018,2019-01-20,2023-02-28,67.0,2500.0,Mailed check,19,electricity,one year,Paul Smith
1019,2021-08-15,,78.0,936.0,Electronic check,9,gas,month-to-month,Quincy Johnson
1020,2022-04-30,,85.0,1020.0,Credit card,12,both,one year,Rachel Brown
