customer_id,contract_start_date,contract_end_date,monthly_charges,total_charges,payment_method,tenure_months,service_type,contract_type,name,avg_monthly_consumption_kwh,num_support_contacts_last_year,consumption_volatility,consumption_trend,consumption_vs_local_avg_ratio,peak_hour_consumption_ratio,smart_meter_flag,has_promo,days_since_last_promo_end,num_price_changes_last_year,last_bill_amount_vs_avg,num_late_payments,avg_days_late_payment,billing_method,contract_renewal_reminder_sent,days_to_contract_end,has_online_account,num_logins_last_month,num_paperless_bills_sent,last_survey_satisfaction_score,num_complaints_last_year,complaint_resolution_time_avg,customer_tenure_type
10001,2022-02-08,,100.7,1983.1,Credit card,20,gas,month-to-month,Elena Coppola,1399,2,0.2378,0.0001,1.16,0.36,True,True,0,0,1.16,0,0,Online Portal,False,,False,0,20,10,1,8,Tenant
10002,2022-10-13,,100.7,957.8,Electronic check,10,both,one year,Marco Bianchi,2359,4,0.2002,0.0028,1.02,0.35,False,False,204,0,0.87,0,0,Paper,True,20,False,0,0,7,2,1,Tenant
10003,2025-03-08,,112.1,1446.5,Mailed check,13,electricity,month-to-month,Matteo Bianco,384,2,0.2985,-0.0048,1.04,0.26,True,False,211,0,1.01,0,0,Paper,False,,True,5,0,10,1,10,Owner
10004,2020-11-21,2022-12-18,58.1,1472.6,Credit card,25,both,two year,Sofia Ricci,2085,12,0.4411,-0.003,1.09,0.44,False,True,0,1,1.57,4,9,Email,False,,False,0,25,4,11,1,Tenant
10005,2021-10-01,,118.1,1822.3,Bank transfer,15,gas,one year,Vincenzo Esposito,1559,1,0.1977,-0.0045,0.93,0.35,False,True,0,2,0.9,0,0,Online Portal,True,50,False,0,15,10,0,0,Tenant
10006,2022-04-10,,67.1,1667.0,Electronic check,25,gas,two year,Arianna Ferrara,1690,2,0.1734,0.0047,1.06,0.29,True,False,235,0,0.83,0,0,Online Portal,True,165,True,10,25,10,0,0,Owner
10007,2021-03-05,,95.5,1945.6,Mailed check,20,both,two year,Antonio Russo,1615,0,0.1781,0.0085,1.09,0.33,True,False,153,0,1.01,0,0,Paper,True,46,False,0,0,8,0,0,Owner
10008,2023-09-03,,51.8,267.0,Credit card,5,electricity,month-to-month,Antonio Marini,218,2,0.2849,-0.0054,1.04,0.37,True,False,181,0,0.82,0,0,Email,False,,False,0,5,9,0,0,Owner
10009,2024-08-20,,95.6,1504.8,Bank transfer,15,gas,one year,Michela Bianchi,1343,0,0.241,0.0007,1.06,0.28,False,True,0,0,0.95,0,0,Paper,True,10,False,0,0,10,0,0,Tenant
10010,2023-04-07,,66.2,444.6,Bank transfer,7,both,month-to-month,Sofia Romano,1282,0,0.2895,-0.0041,1.09,0.23,True,False,120,0,1.28,1,20,Email,False,,True,16,7,10,0,0,Tenant
