customer_id,contract_start_date,contract_end_date,monthly_charges,total_charges,payment_method,tenure_months,service_type,contract_type,name
10001,2024-10-30,2026-07-05,117.4,2397.1,Credit card,20,electricity,month-to-month,Sara Morelli
10002,2022-10-12,,77.8,1692.4,Electronic check,21,gas,two year,Ilaria Costa
10003,2025-02-18,,63.0,1501.9,Credit card,25,gas,two year,Simone Bianco
10004,2020-10-11,,54.4,225.6,Electronic check,4,both,month-to-month,Elisa Marino
10005,2022-10-26,,71.7,1587.6,Bank transfer,23,both,month-to-month,Giulia Innocenti
10006,2021-07-22,,81.1,1476.8,Bank transfer,18,both,month-to-month,Michela Fiore
10007,2021-10-27,,105.3,2638.5,Mailed check,24,gas,month-to-month,Gaia Gentile
10008,2022-10-12,,77.7,797.7,Credit card,10,electricity,one year,Stefano Bianco
10009,2022-04-15,,103.6,1276.5,Credit card,12,gas,one year,Arianna Colombo
10010,2022-08-31,,60.2,1511.7,Credit card,26,gas,two year,Nicole Marchetti
10011,2020-08-16,,97.6,2112.2,Electronic check,21,both,month-to-month,Marco Santoro
10012,2023-07-14,,110.8,2595.4,Bank transfer,23,gas,two year,Stefano Giordano
10013,2024-11-07,,99.3,2812.5,Mailed check,27,gas,two year,Simone Lombardo
10014,2024-11-21,,61.7,758.6,Bank transfer,12,both,one year,Andrea Bianchi
10015,2025-08-01,,73.3,1194.1,Bank transfer,17,both,month-to-month,Luca Lombardi
10016,2025-04-28,,97.4,1288.5,Credit card,13,electricity,one year,Angelo Sanna
10017,2025-03-23,,86.3,499.5,Bank transfer,6,gas,month-to-month,Simone Fontana
10018,2023-09-01,,68.0,828.6,Credit card,12,gas,one year,Paolo Costa
10019,2021-09-10,,114.6,1270.2,Mailed check,11,electricity,one year,Alessia Mancini
10020,2020-12-06,,93.2,1586.5,Bank transfer,17,electricity,month-to-month,Federica Ricci
10021,2023-01-24,2024-03-04,68.4,993.4,Electronic check,14,electricity,month-to-month,Silvia Ferrari
10022,2022-12-05,2025-02-05,85.3,2202.2,Electronic check,26,both,two year,Chiara De Luca
10023,2025-02-19,,83.2,2052.5,Electronic check,24,electricity,month-to-month,Simone Esposito
10024,2024-01-21,,105.2,2292.2,Bank transfer,22,both,two year,Giulia Basile
10025,2023-03-30,,81.8,890.5,Mailed check,11,both,one year,Chiara Ricci
10026,2023-10-12,,66.8,800.6,Electronic check,12,gas,one year,Angelo Mancini
10027,2023-12-14,,59.6,121.2,Bank transfer,2,both,month-to-month,Valentina Basile
10028,2022-05-20,2024-05-13,112.3,2790.0,Bank transfer,24,gas,two year,Serena Bruno
10029,2025-01-21,,99.3,1427.5,Electronic check,15,both,one year,Silvia Bellini
10030,2023-01-17,,99.3,2112.4,Electronic check,22,gas,month-to-month,Giulia Colombo
10031,2023-01-20,,63.5,1592.6,Mailed check,24,electricity,two year,Simone Innocenti
10032,2024-09-26,,60.1,1266.5,Mailed check,21,gas,two year,Alessia Gentile
10033,2022-06-20,2024-02-09,63.2,1320.4,Electronic check,20,both,two year,Elisa Esposito
10034,2022-07-11,,115.3,1967.3,Mailed check,17,both,month-to-month,Elisa Marino
10035,2024-07-22,,103.8,435.7,Electronic check,4,electricity,month-to-month,Sara Marino
10036,2025-04-28,,97.1,1041.9,Credit card,11,electricity,month-to-month,Silvia Innocenti
10037,2023-11-19,,116.3,3149.4,Bank transfer,26,both,two year,Stefano Marchetti
10038,2022-02-05,,65.8,1168.7,Credit card,18,gas,month-to-month,Arianna Vitale
10039,2024-03-15,,51.5,538.4,Credit card,10,electricity,one year,Gaia Fiore
10040,2021-04-08,,59.9,117.0,Credit card,2,gas,month-to-month,Gaia Bruno
10041,2024-05-05,,78.1,1192.2,Mailed check,15,gas,one year,Antonio Conti
10042,2021-09-19,,59.5,735.8,Electronic check,13,electricity,one year,Angelo Longo
10043,2024-04-19,,78.3,1045.0,Electronic check,14,electricity,one year,Federica Russo
10044,2020-12-19,,71.3,2018.0,Electronic check,27,gas,two year,Luca Bellini
